SITE_TYPE,SITECODE,NAME,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI,ASSI228,Aghanloo Wood,Current agircultural emission density (kg NH3/ha/yr),12.5281390041784,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI171,Altikeeragh,Current agircultural emission density (kg NH3/ha/yr),5.14256779811059,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI059,Altmover Glen,Current agircultural emission density (kg NH3/ha/yr),10.8773952152759,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI121,Annachullion Lough,Current agircultural emission density (kg NH3/ha/yr),9.40475524820417,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI038,Annacramph Meadows,Current agircultural emission density (kg NH3/ha/yr),38.3105676633638,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI308,Annaghagh Bog,Current agircultural emission density (kg NH3/ha/yr),44.5884155494905,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI149,Aughnadarragh Lough,Current agircultural emission density (kg NH3/ha/yr),12.2914997444878,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030318,Aughnadarragh Lough,Current agircultural emission density (kg NH3/ha/yr),12.2914997444878,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI150,Ballybannan,Current agircultural emission density (kg NH3/ha/yr),18.3800327315345,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI399,Ballygalley Head,Current agircultural emission density (kg NH3/ha/yr),1.82959305771247,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI153,Ballykilbeg,Current agircultural emission density (kg NH3/ha/yr),16.7102479851873,High agricultural emissions,3,Agricultural ammonia emissions
SAC,UK0030319,Ballykilbeg,Current agircultural emission density (kg NH3/ha/yr),16.7102479851873,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI194,Ballyknock,Current agircultural emission density (kg NH3/ha/yr),12.1624118426291,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI260,Ballymacaldrack,Current agircultural emission density (kg NH3/ha/yr),15.5388158269031,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI257,Ballymacallion,Current agircultural emission density (kg NH3/ha/yr),1.70537848494374,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI152,Ballynagross Lower,Current agircultural emission density (kg NH3/ha/yr),7.98765289861293,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI010,Ballynahone Bog,Current agircultural emission density (kg NH3/ha/yr),28.7616311640028,Very high agricultural emissions,4,Agricultural ammonia emissions
SAC,UK0016599,Ballynahone Bog,Current agircultural emission density (kg NH3/ha/yr),28.7616311640028,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI217,Ballynanaghten,Current agircultural emission density (kg NH3/ha/yr),26.3330287687236,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI087,Ballyquintin Point,Current agircultural emission density (kg NH3/ha/yr),3.22225250396661,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI266,Ballyrisk More,Current agircultural emission density (kg NH3/ha/yr),3.78486174474378,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI064,Banagher Glen,Current agircultural emission density (kg NH3/ha/yr),10.0219771711921,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030083,Banagher Glen,Current agircultural emission density (kg NH3/ha/yr),10.0219771711921,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI208,Bann Estuary,Current agircultural emission density (kg NH3/ha/yr),9.68164348597431,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030084,Bann Estuary,Current agircultural emission density (kg NH3/ha/yr),9.68164348597431,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI349,Baronscourt,Current agircultural emission density (kg NH3/ha/yr),11.0522273280822,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI016,Beagh Big,Current agircultural emission density (kg NH3/ha/yr),25.6523845831453,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI406,Belvoir,Current agircultural emission density (kg NH3/ha/yr),0.976645122303306,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI271,Big Dog Scarps and Lakes,Current agircultural emission density (kg NH3/ha/yr),2.34932300421255,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI212,Binevenagh,Current agircultural emission density (kg NH3/ha/yr),4.33544978388664,Low agricultural emissions,1,Agricultural ammonia emissions
SAC,UK0030089,Binevenagh,Current agircultural emission density (kg NH3/ha/yr),4.33548492272231,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI007,Black Bog,Current agircultural emission density (kg NH3/ha/yr),6.02188407052843,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0016609,Black Bog,Current agircultural emission density (kg NH3/ha/yr),6.02189194559679,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI239,Black Lough Tyrone,Current agircultural emission density (kg NH3/ha/yr),17.7629863035674,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI298,Blackslee,Current agircultural emission density (kg NH3/ha/yr),18.0631674654459,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI336,Blaeberry Island Bog,Current agircultural emission density (kg NH3/ha/yr),18.5045660827062,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI227,Bonds Glen,Current agircultural emission density (kg NH3/ha/yr),17.9414755775379,High agricultural emissions,3,Agricultural ammonia emissions
