SITE_TYPE,NAME,SITECODE,DepType,VARIABLE,VALUE,SCORE,LABEL,DATA_SRCE
ASSI,Garry Bog,ASSI004,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.2441201414971,3,High,N Futures (2016 - 2018 baseline)
ASSI,Moneygal Bog,ASSI005,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),12.7521515208375,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Strangford Lough Part 1,ASSI006,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0.00060924923978914,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Black Bog,ASSI007,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),11.6359353163631,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Fairy Water Bogs,ASSI008,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),12.5532895351254,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Dunloy Bog,ASSI009,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),23.516483267241,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Ballynahone Bog,ASSI010,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.6491792939606,3,High,N Futures (2016 - 2018 baseline)
ASSI,Teal Lough and Slaghtfreeden Bogs,ASSI011,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),12.6089396200382,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Monawilkin,ASSI013,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Monawilkin,ASSI013,Woodland,Excess Nitrogen (kg N ha-1 yr-1),11.1228375175672,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Knockballymore Lough,ASSI014,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),14.919946566495,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Moninea Bog,ASSI015,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),12.0303749381247,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Beagh Big,ASSI016,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Garvros,ASSI017,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Moneendogue,ASSI018,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Lergan,ASSI019,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Drumlisaleen,ASSI020,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,North Woodburn Glen,ASSI022,Woodland,Excess Nitrogen (kg N ha-1 yr-1),30.2855455435006,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Glenarm Woods,ASSI023,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),10.3531186086604,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Glenarm Woods,ASSI023,Woodland,Excess Nitrogen (kg N ha-1 yr-1),26.49458059544,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Glen Burn,ASSI024,Woodland,Excess Nitrogen (kg N ha-1 yr-1),33.0285750001739,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Glenariff,ASSI025,Woodland,Excess Nitrogen (kg N ha-1 yr-1),23.6887120036747,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Cleggan Valley,ASSI026,Woodland,Excess Nitrogen (kg N ha-1 yr-1),31.8199669002322,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Lough Beg,ASSI027,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),9.63029897330688,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Lough Neagh,ASSI030,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),6.21715064023542,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Lough Neagh,ASSI030,Woodland,Excess Nitrogen (kg N ha-1 yr-1),23.810078940828,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Kiltubbrid Loughs,ASSI031,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),24.6939588861221,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Strangford Lough Part 2,ASSI032,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.92011911630866,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Rathlin Island - Coast,ASSI033,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),4.94732125941314,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Strangford Lough Part 3,ASSI034,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.2484951945847,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Deroran Bog,ASSI035,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.7191519132056,3,High,N Futures (2016 - 2018 baseline)
ASSI,Lackan Bog,ASSI037,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),21.0443112237336,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Annacramph Meadows,ASSI038,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),10.6881045368519,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Loughkeelan,ASSI039,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.87153564348615,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Rathlin Island - Ballygill North,ASSI043,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.93866667212239,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Rathlin Island - Ballycarry,ASSI045,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.15552166748411,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Corraslough Point,ASSI048,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.75315556092696,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Lough Foyle,ASSI051,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Inishroosk,ASSI054,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),6.12374499425658,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Crockaghole Wood,ASSI055,Woodland,Excess Nitrogen (kg N ha-1 yr-1),21.083183891817,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Drumlea and Mullan Woods,ASSI056,Woodland,Excess Nitrogen (kg N ha-1 yr-1),21.4498361549949,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Glenmore Wood,ASSI057,Woodland,Excess Nitrogen (kg N ha-1 yr-1),43.4268378652398,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Strabane Glen,ASSI058,Woodland,Excess Nitrogen (kg N ha-1 yr-1),33.471475999992,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Altmover Glen,ASSI059,Woodland,Excess Nitrogen (kg N ha-1 yr-1),23.7687486406549,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Ness Wood,ASSI060,Woodland,Excess Nitrogen (kg N ha-1 yr-1),19.7618683951241,3,High,N Futures (2016 - 2018 baseline)
ASSI,Ervey Wood,ASSI061,Woodland,Excess Nitrogen (kg N ha-1 yr-1),20.4043469536456,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Owenkillew and Glenelly Woods,ASSI062,Woodland,Excess Nitrogen (kg N ha-1 yr-1),22.5074632299605,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Slievenacloy,ASSI063,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),21.9689217602877,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Banagher Glen,ASSI064,Woodland,Excess Nitrogen (kg N ha-1 yr-1),21.7150041475238,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Pettigoe Plateau,ASSI065,Grid Average,Excess Nitrogen (kg N ha-1 yr-1),3.31261071504652,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Pettigoe Plateau,ASSI065,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.37633927298825,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Garron Plateau,ASSI067,Grid Average,Excess Nitrogen (kg N ha-1 yr-1),16.0246556000151,3,High,N Futures (2016 - 2018 baseline)
ASSI,Garron Plateau,ASSI067,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.7003581674193,3,High,N Futures (2016 - 2018 baseline)
ASSI,Magilligan,ASSI068,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0.74650309557184,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Cuilcagh Mountain,ASSI069,Grid Average,Excess Nitrogen (kg N ha-1 yr-1),8.36084521560534,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Cuilcagh Mountain,ASSI069,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),7.57388360602949,2,Moderate,N Futures (2016 - 2018 baseline)
