ID,NAME,Dep_typ,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI004,Garry Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,84.3115438108484,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI004,Garry Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,10.8875128998968,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI004,Garry Bog,Low-growing semi-natural vegetation,% total N deposition from NI,80.0245098039216,Major contributions from NI sources,3,Source Attribution 2012
ASSI005,Moneygal Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,72.4614134849716,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI005,Moneygal Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,26.3687793652316,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI005,Moneygal Bog,Low-growing semi-natural vegetation,% total N deposition from NI,59.4783776009205,Major contributions from NI sources,3,Source Attribution 2012
ASSI006,Strangford Lough Part 1,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,69.9891735747422,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI006,Strangford Lough Part 1,Low-growing semi-natural vegetation,% total N deposition from Europe,16.147909505676,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI006,Strangford Lough Part 1,Low-growing semi-natural vegetation,% total N deposition from NI,67.5914699570543,Major contributions from NI sources,3,Source Attribution 2012
ASSI007,Black Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,78.4617979423174,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI007,Black Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,19.7788910001727,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI007,Black Bog,Low-growing semi-natural vegetation,% total N deposition from NI,66.2549663154258,Major contributions from NI sources,3,Source Attribution 2012
ASSI008,Fairy Water Bogs,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,81.8929812033356,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI008,Fairy Water Bogs,Low-growing semi-natural vegetation,% total N deposition from Europe,18.9046778830489,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI008,Fairy Water Bogs,Low-growing semi-natural vegetation,% total N deposition from NI,69.3860870182385,Major contributions from NI sources,3,Source Attribution 2012
ASSI009,Dunloy Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,87.5961742225212,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI009,Dunloy Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,10.0549096455201,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI009,Dunloy Bog,Low-growing semi-natural vegetation,% total N deposition from NI,79.7145111554805,Major contributions from NI sources,3,Source Attribution 2012
ASSI010,Ballynahone Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,82.9343514688087,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI010,Ballynahone Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,13.7738023365935,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI010,Ballynahone Bog,Low-growing semi-natural vegetation,% total N deposition from NI,73.8801383532088,Major contributions from NI sources,3,Source Attribution 2012
ASSI011,Teal Lough and Slaghtfreeden Bogs,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,77.1776686670304,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI011,Teal Lough and Slaghtfreeden Bogs,Low-growing semi-natural vegetation,% total N deposition from Europe,20.7973886686873,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI011,Teal Lough and Slaghtfreeden Bogs,Low-growing semi-natural vegetation,% total N deposition from NI,62.4077096448279,Major contributions from NI sources,3,Source Attribution 2012
ASSI013,Monawilkin,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,67.6037263755547,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI013,Monawilkin,Low-growing semi-natural vegetation,% total N deposition from Europe,32.9504691393178,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI013,Monawilkin,Low-growing semi-natural vegetation,% total N deposition from NI,51.6649255788953,Major contributions from NI sources,3,Source Attribution 2012
ASSI014,Knockballymore Lough,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,55.9800462874449,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI014,Knockballymore Lough,Low-growing semi-natural vegetation,% total N deposition from Europe,42.3187141836246,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI014,Knockballymore Lough,Low-growing semi-natural vegetation,% total N deposition from NI,48.0821855977567,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI015,Moninea Bog,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,66.8040293040293,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI015,Moninea Bog,Low-growing semi-natural vegetation,% total N deposition from Europe,36.0753411493369,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI015,Moninea Bog,Low-growing semi-natural vegetation,% total N deposition from NI,54.6511627906977,Major contributions from NI sources,3,Source Attribution 2012
ASSI016,Beagh Big,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,71.8147917961467,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI016,Beagh Big,Low-growing semi-natural vegetation,% total N deposition from Europe,31.5380631796996,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI016,Beagh Big,Low-growing semi-natural vegetation,% total N deposition from NI,52.5893319523563,Major contributions from NI sources,3,Source Attribution 2012
ASSI017,Garvros,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,45.2683615819209,Substantial contribution from NI Agriculture,2,Source Attribution 2012
ASSI017,Garvros,Low-growing semi-natural vegetation,% total N deposition from Europe,44.7828904731044,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI017,Garvros,Low-growing semi-natural vegetation,% total N deposition from NI,34.9967595593001,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI018,Moneendogue,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,50.3187120091999,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI018,Moneendogue,Low-growing semi-natural vegetation,% total N deposition from Europe,42.7802631361738,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI018,Moneendogue,Low-growing semi-natural vegetation,% total N deposition from NI,37.9698565462139,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI019,Lergan,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,59.7540288379983,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI019,Lergan,Low-growing semi-natural vegetation,% total N deposition from Europe,37.8000345363495,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI019,Lergan,Low-growing semi-natural vegetation,% total N deposition from NI,45.3634950785702,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI020,Drumlisaleen,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,43.87926215763,Substantial contribution from NI Agriculture,2,Source Attribution 2012
ASSI020,Drumlisaleen,Low-growing semi-natural vegetation,% total N deposition from Europe,41.0964467005076,Substantial contribution from European/RoI sources,2,Source Attribution 2012
ASSI020,Drumlisaleen,Low-growing semi-natural vegetation,% total N deposition from NI,39.8578680203046,Substantial contribution from NI sources,2,Source Attribution 2012
ASSI022,North Woodburn Glen,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,63.3543782596761,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI022,North Woodburn Glen,Low-growing semi-natural vegetation,% total N deposition from Europe,15.6159955021435,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI022,North Woodburn Glen,Low-growing semi-natural vegetation,% total N deposition from NI,65.9638765900625,Major contributions from NI sources,3,Source Attribution 2012
ASSI023,Glenarm Woods,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,81.944311993177,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI023,Glenarm Woods,Low-growing semi-natural vegetation,% total N deposition from Europe,17.3344717261101,Minor contributions from European/RoI sources,1,Source Attribution 2012
ASSI023,Glenarm Woods,Low-growing semi-natural vegetation,% total N deposition from NI,61.7799906443082,Major contributions from NI sources,3,Source Attribution 2012
ASSI024,Glen Burn,Low-growing semi-natural vegetation,% dry NHx deposition from NI agriculture,84.4205858326526,Major contributions from NI Agriculture,3,Source Attribution 2012
ASSI024,Glen Burn,Low-growing semi-natural vegetation,% total N deposition from Europe,14.8608137044968,Minor contributions from European/RoI sources,1,Source Attribution 2012
