x,y,z
-9500,450500,2.07676
-9500,451500,2.10868
-9500,452500,2.15068
-9500,453500,2.128
-9500,454500,2.23244
-9500,455500,2.25785
-9500,456500,2.09832
-9500,457500,1.946
-9500,458500,1.88944
-9500,459500,1.97764
-9500,460500,2.01194
-9500,461500,1.90757
-9500,462500,1.7003
-9500,463500,1.72494
-9500,464500,1.86361
-9500,465500,1.74517
-9500,466500,1.77968
-9500,467500,2.00431
-9500,468500,2.00718
-9500,469500,1.84674
-9500,470500,1.81853
-9500,471500,1.62134
-9500,472500,1.23354
-9500,473500,0.95942
-9500,474500,0.9072
-9500,475500,0.98329
-9500,476500,1.05392
-9500,477500,1.2768
-9500,478500,1.13351
-9500,479500,1.3146
-9500,480500,1.26091
-9500,481500,1.35401
-9500,482500,1.53153
-9500,483500,1.38649
-9500,484500,1.56975
-9500,485500,1.45138
-9500,486500,1.1914
-9500,487500,1.30613
-9500,488500,1.40133
-9500,489500,1.17782
-9500,490500,0.94136
-9500,491500,0.87332
-9500,492500,0.9569
-9500,493500,0.9723
-9500,494500,1.11951
-9500,495500,1.19959
-9500,496500,1.25713
-9500,497500,1.26735
-9500,498500,1.13645
-9500,499500,1.26532
-9500,500500,1.21555
-9500,501500,1.10362
-9500,502500,0.90552
-9500,503500,0.89453
-9500,504500,1.19231
-9500,505500,1.28093
-9500,506500,1.1676
-9500,507500,1.03943
-9500,508500,1.05833
-9500,509500,1.06106
-9500,510500,1.19665
-9500,511500,1.04377
-9500,512500,0.98462
-9500,513500,0.95445
-9500,514500,0.95214
-9500,515500,0.96278
-9500,516500,0.87192
-9500,517500,0.96789
-9500,518500,1.01164
-9500,519500,1.00443
-9500,520500,0.91511
-9500,521500,1.02718
-9500,522500,1.09256
-9500,523500,1.12308
-9500,524500,1.05126
-9500,525500,0.97132
-9500,526500,0.87199
-9500,527500,0.67417
-9500,528500,0.51492
-9500,529500,0.46683
-9500,530500,0.44527
-9500,531500,0.42651
-9500,532500,0.41468
-9500,533500,0.39641
-9500,534500,0.38206
-9500,535500,0.3801
-9500,536500,0.38451
-9500,537500,0.37814
-9500,538500,0.38528
-9500,539500,0.39389
-9500,540500,0.40579
-9500,541500,0.44149
-9500,542500,0.53704
-9500,543500,0.65653
-9500,544500,0.78708
-9500,545500,0.74606
-9500,546500,0.76643
-9500,547500,0.79618
-9500,548500,0.70406
-9500,549500,0.72856
-9500,550500,0.68537
-9500,551500,0.74193
-9500,552500,0.62419
-9500,553500,0.59129
-9500,554500,0.52143
-9500,555500,0.58919
-9500,556500,0.61698
-9500,557500,0.68873
-9500,558500,0.75593
-9500,559500,0.78596
-9500,560500,0.65107
-9500,561500,0.60606
-9500,562500,0.50491
-9500,563500,0.53781
-9500,564500,0.58016
-9500,565500,0.60494
