SITE_TYPE,SITECODE,NAME,VARIABLE,cle,VALUE,SCORE,LABEL,DATA_SRCE
SSSI,ASSI140,Lough Melvin,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030047,Lough Melvin,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI017,Garvros,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI018,Moneendogue,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI020,Drumlisaleen,Mean CLe exceedance,1,0.16844,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI403,Rushy Hill,Mean CLe exceedance,1,0.0824594405594405,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI297,Knocknashangan,Mean CLe exceedance,1,0.0121444827586208,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI299,Ross,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI400,Frevagh,Mean CLe exceedance,1,0.0793999999999999,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI332,Tower More,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI353,Lough Anierin,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI190,Tullysranadeega,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI019,Lergan,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI065,Pettigoe Plateau,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0016607,Pettigoe Plateau,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI402,Drumcully,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI385,Stranacally,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI331,Glen East,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI271,Big Dog Scarps and Lakes,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI270,Lough Navar Scarps and Lakes,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI359,Lough Naman Bog and Lake,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
